id,tweet
1.58E+18,"RT @Ozil855282201: Warga kota Makassar menyambut pelepasan Gubernur DKI ANIES BASWEDAN, kini menjadi calon Presiden 2024-2029 dengan kelili…"
1.58E+18,"@detikcom Sindiran halus buat amis wkwkwkwk,artinya jangan buang2 anggaran utk para buzer balaikota."
1.58E+18,@OposisiCerdas Kadrun adalah antitesa cebong.  Dunia terbalik adalah punya kadrun mania.
1.58E+18,@HelmiFelis_ Kwek...kwek... https://t.co/M38Yj8Zs85
1.58E+18,"RT @tempodotco: Setelah 40 tahun, Gereja GPIB Pelita Jakarta akhirnya mendapat Bantuan Operasional Tempat Ibadah (BOTI) di bawah kepemimpin…"
1.58E+18,"RT @Ozil855282201: Warga kota Makassar menyambut pelepasan Gubernur DKI ANIES BASWEDAN, kini menjadi calon Presiden 2024-2029 dengan kelili…"
1.58E+18,@HelmiFelis_ Ngelapor langsung ke balaikota...disana kena "tai" ....episode ahok�
1.58E+18,@Relawananies Kasihan banget
1.58E+18,RT @aLy_Bima: Video ini hanya untuk orang yang belum tahu prestasi gubernur DKI jakarta bang anies baswedan � https://t.co/iO8tYUlXtu
1.58E+18,@humasjakfire @DKIJakarta @aniesbaswedan @ArizaPatria @dprddkijakarta Robotnya mana...sudah bertelur belum...ada musibah dikandangin ae...
1.58E+18,RT @aLy_Bima: Video ini hanya untuk orang yang belum tahu prestasi gubernur DKI jakarta bang anies baswedan � https://t.co/iO8tYUlXtu
1.58E+18,"izinkan foto ini yang bercerita
#IndonesiaMemanggilAnies https://t.co/Sb9RiKyjnv"
1.58E+18,"@politik_2024 Wow ada BaBilung...
#eh"
1.58E+18,"RT @BosPurwa: Sinyal Buat Koalisi #AK24

12 Oktoober 2022
Jenderal Andika Perkasa :
Saya belum pernah ketemu, blm komunikasi

14 Oktober 20…"
1.58E+18,RT @Sahrin84959845: Hadiah dari @karniilyas untuk Anies Baswedan yg telah berlaku adil terhadap seluruh masyarakat selama menjadi gubernur…
1.58E+18,"Hiduplah engkau dengankuuu...hiihiihiiii...dooor!!!
@fawzans10

Anies Baswedan Bocorkan Isi Pertemuan dengan Panglima TNI, Bahas Masa Depan?
https://t.co/aurDvG2zrI"
1.58E+18,"RT @detikcom: #Foto Gubernur DKI Jakarta Anies Baswedan menghadiri acara perpisahannya di Balai Kota, Jakarta. Di atas panggung, Anies meny…"
